"simnumber","sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","bf.i05","bf.i01","bf.i001","r.w","r.r2","w.r2","p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
46,0.623655913978495,0.666666666666667,0.935483870967742,0.82258064516129,0.924731182795699,0.758064516129032,-0.0433234509209518,-0.00737853993787096,"***","***","***",NA,1.0122183348647,1.29057009729547,3,3,"randomwalk","random",NA,NA,0.1,NA,1,56.5799547254129,56.7784280784929,0.627906976744186,0.572815533980582,1,57.4482713510472,0.531601358322
47,0.489247311827957,0.693548387096774,0.806451612903226,0.849462365591398,0.817204301075269,0.747311827956989,0.0505454648970583,0.0191631310990301,"***","***","***",NA,1.02656949264788,1.29057706881592,5,3,"randomwalk","random",NA,NA,0.1,NA,0.989247311827957,30.60325721398,30.6508013380739,0.558139534883721,0.543689320388349,1,30.9449780097998,0.589028838147611
48,0.17741935483871,0.639784946236559,0.301075268817204,0.811827956989247,0.650537634408602,0.790322580645161,0.00140953733584743,-0.00842077081130635,"***","***","***",NA,0.99627928491246,1.1842497215958,10,3,"randomwalk","random",NA,NA,0.1,NA,0.865591397849462,6.91269392986221,6.91415598650727,0.511627906976744,0.368932038834952,1,6.9931282712392,0.682068775205975
49,0.5,0.688172043010753,0.747311827956989,0.811827956989247,0.887096774193548,0.763440860215054,-0.0684386715109378,-0.0175815138096547,"***","***","***",NA,0.997944369440343,1.29535055127252,3,5,"randomwalk","random",NA,NA,0.1,NA,0.881720430107527,1.48841498790152,1.482282970502,0.488372093023256,0.223300970873786,1,1.49589922261562,0.613007760357688
50,0.543010752688172,0.268817204301075,0.774193548387097,0.467741935483871,0.935483870967742,0.596774193548387,0.0498497068129065,0.0185991079388087,"***","***","***",NA,1.02433391532382,1.29056905902975,5,5,"randomwalk","random",NA,NA,0.1,NA,1,115.330568891394,114.914741465241,0.604651162790698,0.504854368932039,1,115.833783201468,0.617261859825883
51,0.403225806451613,0.580645161290323,0.612903225806452,0.774193548387097,0.865591397849462,0.741935483870968,0.0374058465121515,0.0374805165484384,"***","***","***",NA,1.00920585365179,1.29056103543075,10,5,"randomwalk","random",NA,NA,0.1,NA,0.994623655913978,150.485981920882,150.979234420771,0.697674418604651,0.446601941747573,1,151.699925034063,0.471036029428353
52,0.596774193548387,0.709677419354839,0.876344086021505,0.790322580645161,0.876344086021505,0.779569892473118,-0.0237564104393398,0.00959453723797971,"***","***","***",NA,1.00528751750736,1.29059369612458,3,10,"randomwalk","random",NA,NA,0.1,NA,1,20.7552272190973,20.7837981537448,0.488372093023256,0.12621359223301,1,20.9284763744818,0.615855722369442
53,0.236559139784946,0.290322580645161,0.370967741935484,0.360215053763441,0.736559139784946,0.623655913978495,-0.0266689396467213,0.00914563259984451," "," "," ",NA,1.0060175007688,1.16416368639023,5,10,"randomwalk","random",NA,NA,0.1,NA,0.994623655913978,66.6880569859434,67.0320223053602,0.441860465116279,0.12621359223301,1,67.2256300735331,0.585334407334294
54,0.247311827956989,0.720430107526882,0.365591397849462,0.817204301075269,0.682795698924731,0.908602150537634,0.0990451378389235,0.0454061899186282,"***","***","***",NA,0.999522808721664,1.2905698291556,10,10,"randomwalk","random",NA,NA,0.1,NA,0.731182795698925,6.20460203350701,6.18011870875223,0.627906976744186,0.436893203883495,1,6.20714886408744,0.577541147223754
55,0.247311827956989,0.672043010752688,0.408602150537634,0.790322580645161,0.758064516129032,0.725806451612903,-0.0955507449403625,-0.00762867317371753,"***","***","***",NA,1.02849285185436,1.29056983093442,3,3,"ar1","randomwalk",0.2,NA,0.1,NA,1,26.8797757228145,26.8469856536266,0.418604651162791,0.233009708737864,1,27.0551923116425,0.879254289831638
